applicant_id,age,annual_income,employment_type,education,credit_score,loan_amount,num_dependents,months_employed,region,has_default
10079,36.0,25398.0,self-employed,bachelor,604.0,13316.0,1,,east,0
10080,45.0,49199.0,self-employed,master,750.0,13441.0,0,26.0,central,0
10081,32.0,48705.0,salaried,bachelor,727.0,17264.0,0,63.0,west,0
10082,,22543.0,salaried,master,657.0,13236.0,1,56.0,west,0
10083,35.0,43444.0,salaried,bachelor,617.0,13411.0,0,125.0,west,0
10084,,66917.0,unemployed,highschool,742.0,33702.0,0,78.0,north,0
10085,46.0,,self-employed,highschool,648.0,21486.0,3,51.0,central,0
10086,34.0,38268.0,salaried,bachelor,576.0,8112.0,0,109.0,south,1
10087,40.0,31762.0,salaried,highschool,496.0,12394.0,1,44.0,west,0
10088,46.0,29300.0,salaried,master,610.0,6125.0,3,131.0,central,1
10089,45.0,50712.0,salaried,master,718.0,5148.0,0,32.0,north,0
10090,48.0,44247.0,self-employed,highschool,850.0,9644.0,1,5.0,south,1
10091,39.0,54979.0,self-employed,highschool,656.0,10807.0,2,55.0,central,0
10092,35.0,42870.0,salaried,bachelor,581.0,12238.0,0,12.0,south,0
10093,39.0,,salaried,bachelor,543.0,32897.0,1,,west,0
10094,,42079.0,salaried,highschool,700.0,12368.0,3,61.0,east,0
10095,23.0,59418.0,salaried,highschool,491.0,31051.0,0,131.0,central,1
10096,24.0,62032.0,self-employed,highschool,700.0,23436.0,3,,east,0
10097,28.0,26842.0,self-employed,bachelor,724.0,2786.0,1,21.0,east,0
10098,45.0,16251.0,self-employed,highschool,689.0,3159.0,2,73.0,north,1
10099,29.0,86833.0,salaried,bachelor,630.0,49116.0,1,40.0,east,0
10100,,45630.0,salaried,highschool,701.0,18347.0,0,86.0,east,0
10101,56.0,17030.0,unemployed,bachelor,665.0,9618.0,0,32.0,west,1
10102,36.0,28088.0,unemployed,bachelor,580.0,7164.0,2,118.0,west,1
10103,49.0,59038.0,salaried,highschool,817.0,27056.0,0,,west,0
10104,29.0,34897.0,self-employed,master,618.0,16960.0,0,51.0,east,0
10105,38.0,31069.0,salaried,bachelor,720.0,18264.0,0,114.0,north,1
10106,29.0,80857.0,salaried,master,432.0,8821.0,1,94.0,south,0
10107,36.0,23774.0,unemployed,bachelor,765.0,13697.0,0,35.0,east,1
10108,50.0,26928.0,unemployed,bachelor,782.0,7965.0,0,93.0,central,0
10109,,44609.0,unemployed,highschool,653.0,23152.0,2,82.0,west,1
10110,45.0,48787.0,salaried,bachelor,700.0,18166.0,2,53.0,central,0
10111,43.0,51440.0,salaried,bachelor,700.0,19667.0,2,89.0,central,0
10112,33.0,63299.0,self-employed,bachelor,592.0,17704.0,3,118.0,north,1
10113,23.0,44324.0,self-employed,highschool,699.0,22793.0,2,54.0,north,0
10114,41.0,51261.0,salaried,highschool,577.0,11893.0,0,54.0,east,1
10115,,35256.0,salaried,highschool,595.0,12203.0,0,52.0,south,0
10116,43.0,41413.0,salaried,highschool,751.0,15741.0,2,34.0,central,0
10117,40.0,42352.0,self-employed,bachelor,738.0,19959.0,2,,east,0
10118,59.0,44692.0,self-employed,phd,586.0,15008.0,0,50.0,north,0
10119,37.0,59058.0,salaried,highschool,584.0,25994.0,0,48.0,south,0
10120,,52975.0,salaried,highschool,592.0,18152.0,1,48.0,south,1
10121,42.0,41032.0,salaried,highschool,716.0,17630.0,0,26.0,north,0
10122,43.0,26781.0,salaried,highschool,560.0,11705.0,2,100.0,south,0
10123,56.0,41516.0,salaried,bachelor,682.0,18878.0,3,,east,0
10124,50.0,39577.0,salaried,highschool,717.0,20249.0,0,122.0,central,0
10125,,44205.0,,phd,642.0,16372.0,0,,west,0
10126,58.0,120966.0,salaried,master,741.0,23787.0,0,137.0,north,1
10127,26.0,30888.0,self-employed,bachelor,623.0,13585.0,2,45.0,east,0
10128,32.0,49570.0,salaried,master,631.0,6868.0,1,,west,0
10129,29.0,68475.0,salaried,bachelor,562.0,14344.0,0,61.0,south,0
10130,35.0,42150.0,salaried,phd,742.0,20910.0,0,24.0,east,1
10131,23.0,129175.0,self-employed,highschool,581.0,41018.0,1,25.0,central,0
10132,48.0,33222.0,salaried,phd,681.0,11595.0,1,37.0,north,0
10133,37.0,47195.0,salaried,highschool,644.0,28020.0,1,,east,0
10134,22.0,26919.0,salaried,bachelor,555.0,5857.0,1,55.0,west,0
10135,28.0,33666.0,salaried,master,595.0,3696.0,1,69.0,west,0
10136,44.0,45454.0,salaried,bachelor,774.0,7077.0,0,,central,1
10137,50.0,,salaried,highschool,668.0,13619.0,1,66.0,south,0
10138,64.0,47077.0,salaried,highschool,559.0,21795.0,1,73.0,east,1
10139,75.0,75324.0,salaried,highschool,677.0,36752.0,1,49.0,central,0
10140,45.0,38274.0,self-employed,bachelor,637.0,14649.0,3,81.0,central,0
10141,,33993.0,salaried,bachelor,850.0,7734.0,1,92.0,central,0
10142,18.0,155126.0,unemployed,bachelor,676.0,55980.0,1,74.0,west,0
10143,43.0,48880.0,self-employed,master,616.0,5254.0,2,76.0,south,0
10144,30.0,28008.0,salaried,highschool,778.0,12349.0,0,,south,1
10145,35.0,28364.0,self-employed,master,484.0,11548.0,1,105.0,west,0
10146,33.0,25051.0,salaried,bachelor,658.0,2778.0,1,56.0,south,0
10147,38.0,64105.0,unemployed,master,829.0,32598.0,2,37.0,west,1
10148,53.0,33450.0,unemployed,master,640.0,16113.0,0,57.0,east,0
10149,42.0,42774.0,self-employed,master,494.0,10869.0,1,24.0,east,0
10150,,38880.0,salaried,highschool,614.0,16240.0,0,22.0,south,0
10151,28.0,57858.0,unemployed,bachelor,781.0,23186.0,0,92.0,west,1
10152,20.0,,self-employed,master,684.0,4510.0,1,123.0,east,0
10153,34.0,23440.0,self-employed,bachelor,575.0,4609.0,2,46.0,south,0
10154,39.0,44898.0,salaried,highschool,588.0,19827.0,1,93.0,south,0
10155,61.0,54202.0,unemployed,bachelor,600.0,30721.0,3,16.0,east,0
10156,,47395.0,self-employed,master,683.0,18396.0,1,14.0,west,0
10157,52.0,26776.0,salaried,highschool,770.0,10280.0,1,,central,1
10158,34.0,56316.0,,bachelor,745.0,23841.0,2,74.0,south,0
10159,26.0,27669.0,self-employed,master,691.0,8862.0,1,56.0,north,0
10160,28.0,30922.0,unemployed,bachelor,530.0,3930.0,0,134.0,central,0
10161,31.0,25035.0,salaried,highschool,530.0,7467.0,2,51.0,north,0
10162,66.0,76924.0,salaried,bachelor,698.0,42318.0,1,29.0,central,0
10163,30.0,55089.0,self-employed,bachelor,529.0,27681.0,1,20.0,north,0
10164,50.0,54312.0,salaried,bachelor,630.0,30616.0,4,57.0,south,1
10165,29.0,74877.0,self-employed,bachelor,677.0,13210.0,3,63.0,central,0
10166,51.0,163787.0,self-employed,bachelor,548.0,57813.0,1,49.0,north,0
10167,45.0,17075.0,salaried,master,558.0,6700.0,3,94.0,north,0
10168,38.0,27745.0,self-employed,master,642.0,5687.0,0,116.0,west,0
10169,40.0,29493.0,salaried,master,695.0,5913.0,3,46.0,north,0
10170,32.0,26228.0,self-employed,bachelor,746.0,12878.0,2,16.0,north,0
10171,45.0,23417.0,self-employed,highschool,705.0,10208.0,0,67.0,west,0
10172,35.0,34550.0,salaried,bachelor,657.0,14635.0,1,106.0,central,0
10173,25.0,21844.0,salaried,highschool,583.0,5101.0,2,46.0,west,0
10174,,47454.0,salaried,bachelor,554.0,16770.0,0,76.0,central,0
10175,42.0,41186.0,salaried,highschool,604.0,4594.0,4,27.0,east,0
10176,59.0,51048.0,self-employed,bachelor,687.0,8421.0,2,66.0,west,0
10177,42.0,51734.0,salaried,bachelor,680.0,18579.0,0,77.0,central,0
10178,39.0,54258.0,salaried,bachelor,461.0,13827.0,0,67.0,east,1
10179,43.0,33299.0,salaried,bachelor,579.0,19408.0,1,154.0,north,1
10180,56.0,115910.0,self-employed,highschool,758.0,38916.0,3,122.0,south,0
10181,43.0,45126.0,self-employed,highschool,657.0,6398.0,1,84.0,west,0
10182,35.0,15816.0,salaried,bachelor,522.0,1723.0,2,100.0,central,0
10183,53.0,24314.0,salaried,master,850.0,11248.0,1,66.0,west,0
10184,45.0,16810.0,salaried,master,647.0,3123.0,1,54.0,east,0
10185,58.0,40484.0,salaried,phd,685.0,7850.0,2,43.0,south,0
10186,42.0,37763.0,salaried,highschool,686.0,11779.0,1,27.0,west,0
10187,25.0,31754.0,self-employed,highschool,617.0,7368.0,1,125.0,central,0
10188,24.0,109695.0,salaried,bachelor,585.0,44787.0,1,157.0,south,0
10189,60.0,52812.0,salaried,bachelor,841.0,18106.0,1,58.0,east,0
10190,61.0,57702.0,self-employed,bachelor,740.0,8986.0,1,58.0,east,0
10191,,25197.0,,master,724.0,12406.0,2,79.0,south,0
10192,35.0,24353.0,salaried,bachelor,702.0,7621.0,2,51.0,east,0
10193,58.0,40880.0,salaried,bachelor,560.0,16574.0,1,29.0,north,0
10194,27.0,,self-employed,phd,765.0,4462.0,1,24.0,east,0
10195,29.0,15865.0,salaried,highschool,574.0,6555.0,1,154.0,north,1
10196,48.0,36675.0,self-employed,master,675.0,8854.0,1,18.0,east,0
10197,35.0,,self-employed,bachelor,502.0,14033.0,1,68.0,central,1
10198,40.0,36041.0,self-employed,highschool,466.0,8969.0,1,19.0,north,0
10199,38.0,26724.0,salaried,master,679.0,15984.0,0,53.0,south,0
10200,44.0,30645.0,salaried,master,577.0,6602.0,0,45.0,west,0
10201,57.0,36738.0,self-employed,master,471.0,20442.0,1,22.0,central,0
10202,41.0,41999.0,salaried,highschool,699.0,23477.0,2,81.0,central,0
10203,48.0,54306.0,salaried,highschool,841.0,16862.0,0,28.0,north,0
10204,18.0,68901.0,salaried,bachelor,775.0,17363.0,0,20.0,south,0
10205,39.0,34642.0,salaried,highschool,627.0,10064.0,0,86.0,central,0
10206,30.0,31950.0,self-employed,highschool,651.0,19000.0,2,46.0,east,0
10207,25.0,49953.0,unemployed,bachelor,730.0,20450.0,0,35.0,central,0
10208,29.0,54471.0,,highschool,751.0,20284.0,1,89.0,north,0
10209,36.0,32302.0,salaried,bachelor,619.0,3810.0,2,27.0,north,0
10210,51.0,59587.0,unemployed,bachelor,653.0,31219.0,2,16.0,south,1
10211,24.0,65499.0,self-employed,highschool,677.0,9295.0,3,111.0,north,0
10212,40.0,76561.0,salaried,bachelor,700.0,9454.0,3,,central,0
10213,34.0,97652.0,self-employed,highschool,638.0,23185.0,1,52.0,central,0
10214,36.0,26024.0,salaried,highschool,639.0,8794.0,0,5.0,south,0
10215,52.0,40415.0,salaried,bachelor,774.0,22133.0,1,52.0,north,0
10216,46.0,40362.0,self-employed,bachelor,759.0,19981.0,1,91.0,north,0
10217,56.0,38214.0,salaried,highschool,693.0,7598.0,2,105.0,south,0
10218,38.0,29009.0,salaried,bachelor,805.0,8298.0,0,29.0,west,0
10219,32.0,19096.0,self-employed,bachelor,615.0,9359.0,2,,central,0
10220,,42038.0,salaried,bachelor,796.0,15283.0,0,65.0,east,0
10221,43.0,27332.0,salaried,highschool,699.0,5118.0,0,,central,0
10222,42.0,,salaried,bachelor,850.0,12487.0,0,83.0,central,0
10223,27.0,26983.0,self-employed,bachelor,543.0,11143.0,0,76.0,west,0
10224,41.0,23160.0,self-employed,highschool,588.0,13586.0,1,105.0,north,0
10225,43.0,45123.0,salaried,bachelor,688.0,19444.0,0,54.0,central,0
10226,,43281.0,self-employed,master,686.0,4679.0,2,126.0,central,0
10227,63.0,53618.0,salaried,highschool,826.0,24262.0,2,40.0,east,0
10228,30.0,119723.0,salaried,bachelor,590.0,26989.0,0,84.0,east,0
10229,37.0,46104.0,salaried,master,731.0,24485.0,3,43.0,west,0
10230,,51151.0,salaried,highschool,755.0,14933.0,2,53.0,east,0
10231,33.0,23417.0,salaried,master,713.0,4679.0,1,58.0,south,0
10232,44.0,21090.0,self-employed,bachelor,564.0,7043.0,0,42.0,west,0
10233,,88558.0,,bachelor,777.0,20156.0,2,107.0,west,0
10234,31.0,25292.0,unemployed,master,761.0,5511.0,1,45.0,north,0
10235,32.0,23814.0,unemployed,phd,704.0,9207.0,1,56.0,west,0
10236,18.0,39358.0,salaried,bachelor,668.0,19036.0,1,,north,0
10237,38.0,38365.0,salaried,bachelor,670.0,19853.0,1,191.0,east,0
10238,27.0,,salaried,highschool,643.0,7638.0,2,80.0,north,0
10239,34.0,34459.0,salaried,highschool,708.0,4597.0,0,,central,1
10240,29.0,74212.0,self-employed,master,653.0,25380.0,1,14.0,west,0
10241,39.0,26823.0,salaried,bachelor,574.0,8500.0,2,52.0,east,0
10242,19.0,19994.0,salaried,master,556.0,3969.0,2,37.0,east,1
10243,22.0,,salaried,highschool,582.0,35240.0,0,47.0,west,0
10244,,51336.0,self-employed,highschool,670.0,30138.0,1,43.0,north,0
10245,25.0,29429.0,salaried,highschool,648.0,3704.0,0,78.0,east,1
10246,27.0,18195.0,self-employed,bachelor,669.0,9059.0,1,,west,0
10247,62.0,27658.0,salaried,highschool,695.0,11696.0,1,32.0,south,1
10248,75.0,39052.0,salaried,highschool,594.0,9010.0,1,94.0,east,1
10249,26.0,71886.0,salaried,phd,782.0,30018.0,1,25.0,south,0
10250,36.0,23902.0,self-employed,master,626.0,3928.0,2,57.0,north,0
10251,44.0,38474.0,self-employed,master,611.0,5183.0,2,52.0,central,0
10252,61.0,56251.0,salaried,highschool,693.0,33567.0,1,69.0,east,0
10253,28.0,12202.0,salaried,bachelor,485.0,5103.0,3,106.0,south,1
10254,37.0,67298.0,salaried,bachelor,579.0,15251.0,1,207.0,south,0
10255,49.0,,salaried,highschool,738.0,7222.0,1,59.0,west,0
10256,45.0,47382.0,salaried,bachelor,494.0,27247.0,0,37.0,north,1
10257,35.0,45403.0,salaried,master,751.0,14500.0,2,35.0,east,0
10258,38.0,69030.0,self-employed,highschool,786.0,37982.0,3,35.0,south,0
10259,24.0,52863.0,self-employed,master,617.0,28250.0,0,68.0,central,0
10260,37.0,12226.0,self-employed,highschool,676.0,3327.0,0,12.0,west,0
10261,37.0,27109.0,self-employed,highschool,751.0,12145.0,1,24.0,west,0
10262,43.0,43006.0,unemployed,highschool,608.0,18503.0,3,68.0,north,0
10263,33.0,36407.0,unemployed,master,728.0,17679.0,2,96.0,north,0
10264,46.0,50960.0,salaried,bachelor,590.0,14420.0,0,97.0,east,0
10265,52.0,59557.0,salaried,master,607.0,7511.0,0,60.0,south,0
10266,42.0,54406.0,salaried,bachelor,578.0,10093.0,2,89.0,west,1
10267,44.0,,self-employed,master,681.0,14721.0,0,107.0,west,0
10268,41.0,15944.0,salaried,bachelor,754.0,7773.0,1,44.0,south,0
10269,40.0,31961.0,salaried,bachelor,633.0,15278.0,0,101.0,north,0
10270,31.0,49424.0,salaried,master,536.0,19366.0,0,19.0,south,0
10271,44.0,23267.0,self-employed,master,553.0,3313.0,4,23.0,east,0
10272,,55030.0,salaried,bachelor,686.0,5979.0,1,46.0,south,0
10273,65.0,63209.0,self-employed,highschool,816.0,31040.0,1,17.0,south,0
10274,59.0,42763.0,salaried,master,685.0,16023.0,0,79.0,south,0
10275,45.0,8674.0,,highschool,615.0,4262.0,0,40.0,north,0
10276,31.0,21183.0,salaried,phd,719.0,3842.0,0,52.0,west,0
10277,27.0,103063.0,self-employed,bachelor,628.0,31301.0,0,54.0,central,0
10278,54.0,30538.0,salaried,highschool,616.0,17089.0,1,45.0,central,0
10279,,14882.0,salaried,highschool,564.0,2765.0,2,35.0,central,0
10280,46.0,74431.0,unemployed,bachelor,777.0,9733.0,2,77.0,west,0
10281,19.0,40404.0,unemployed,bachelor,421.0,17242.0,0,40.0,west,0
10282,51.0,69736.0,self-employed,master,722.0,27704.0,1,53.0,north,0
10283,45.0,46096.0,unemployed,bachelor,608.0,26552.0,1,70.0,south,0
10284,27.0,50477.0,salaried,highschool,613.0,27926.0,3,106.0,west,0
10285,34.0,48122.0,salaried,bachelor,802.0,22844.0,0,101.0,central,0
10286,43.0,56883.0,salaried,master,586.0,6233.0,2,42.0,central,0
10287,41.0,,self-employed,master,589.0,42637.0,0,33.0,west,0
10288,36.0,65219.0,self-employed,bachelor,638.0,35743.0,2,118.0,north,0
10289,39.0,18212.0,unemployed,master,687.0,5770.0,1,40.0,central,0
10290,37.0,50178.0,self-employed,highschool,610.0,29157.0,0,75.0,south,0
10291,42.0,71022.0,self-employed,bachelor,508.0,30273.0,2,16.0,north,0
10292,58.0,,salaried,master,572.0,11331.0,1,12.0,west,1
10293,18.0,,salaried,bachelor,765.0,11499.0,0,59.0,north,0
10294,37.0,71860.0,salaried,highschool,657.0,32179.0,1,49.0,south,0
10295,42.0,63823.0,self-employed,bachelor,691.0,8468.0,0,86.0,west,0
10296,44.0,145257.0,salaried,highschool,626.0,39557.0,1,35.0,central,0
10297,36.0,27584.0,unemployed,highschool,591.0,12648.0,2,67.0,central,0
10298,19.0,31142.0,self-employed,highschool,801.0,5560.0,1,83.0,north,0
10299,44.0,34439.0,salaried,master,633.0,9442.0,0,36.0,north,0
10300,61.0,31410.0,self-employed,highschool,610.0,13976.0,1,46.0,central,0
10301,22.0,25719.0,salaried,bachelor,749.0,12545.0,3,27.0,south,0
10302,50.0,10084.0,self-employed,phd,585.0,3623.0,0,,north,0
10303,36.0,32294.0,salaried,master,596.0,18680.0,2,77.0,east,0
10304,39.0,48275.0,salaried,bachelor,651.0,27163.0,1,80.0,west,0
10305,27.0,31363.0,salaried,bachelor,650.0,10561.0,0,49.0,central,0
10306,36.0,105629.0,salaried,highschool,673.0,19028.0,2,76.0,east,0
10307,56.0,40404.0,self-employed,bachelor,838.0,19655.0,2,6.0,west,0
10308,47.0,76536.0,unemployed,highschool,680.0,16958.0,0,51.0,east,0
10309,61.0,,self-employed,highschool,436.0,23849.0,3,129.0,central,0
10310,54.0,60670.0,salaried,highschool,679.0,23878.0,3,56.0,east,0
10311,45.0,,unemployed,bachelor,653.0,13708.0,0,98.0,west,0
10312,61.0,79570.0,salaried,highschool,654.0,30093.0,1,49.0,central,0
10313,45.0,41273.0,salaried,highschool,672.0,15123.0,0,114.0,central,0
10314,50.0,51434.0,self-employed,master,647.0,28925.0,1,33.0,east,0
10315,36.0,48203.0,unemployed,highschool,645.0,9987.0,3,,east,0
10316,41.0,34747.0,unemployed,bachelor,705.0,19600.0,3,38.0,east,1
10317,32.0,49143.0,self-employed,bachelor,601.0,5684.0,0,65.0,north,0
10318,,122663.0,salaried,bachelor,565.0,59443.0,1,40.0,south,1
10319,26.0,35059.0,salaried,highschool,850.0,19627.0,1,56.0,west,0
10320,49.0,49500.0,salaried,highschool,586.0,14703.0,0,,north,0
10321,38.0,75274.0,salaried,master,659.0,10277.0,2,82.0,west,0
10322,54.0,70978.0,salaried,bachelor,515.0,35655.0,3,73.0,east,1
10323,49.0,40371.0,salaried,highschool,660.0,21051.0,1,37.0,east,0
10324,62.0,12189.0,salaried,highschool,566.0,3268.0,1,36.0,central,0
10325,49.0,51966.0,salaried,bachelor,610.0,18671.0,2,32.0,south,0
10326,21.0,13230.0,self-employed,highschool,744.0,6678.0,2,28.0,west,0
10327,39.0,83698.0,salaried,bachelor,692.0,16407.0,0,85.0,west,0
10328,26.0,43684.0,,bachelor,701.0,18106.0,1,30.0,central,0
10329,34.0,66160.0,self-employed,bachelor,491.0,20861.0,2,68.0,central,0
10330,58.0,25564.0,self-employed,master,815.0,4786.0,0,41.0,east,0
10331,48.0,18467.0,salaried,bachelor,543.0,9524.0,2,97.0,south,0
10332,32.0,45724.0,salaried,master,788.0,11995.0,0,147.0,west,0
10333,28.0,39466.0,unemployed,bachelor,742.0,22386.0,3,5.0,central,1
10334,40.0,31390.0,self-employed,bachelor,702.0,12068.0,3,,south,0
10335,25.0,41870.0,salaried,bachelor,573.0,14958.0,2,41.0,south,0
10336,32.0,160126.0,salaried,bachelor,664.0,49904.0,0,50.0,east,0
10337,44.0,60917.0,salaried,highschool,608.0,18295.0,1,48.0,north,0
10338,54.0,67829.0,salaried,phd,653.0,34524.0,2,23.0,south,0
10339,47.0,61204.0,salaried,master,628.0,26853.0,0,,north,0
10340,18.0,84097.0,unemployed,highschool,467.0,40942.0,0,49.0,west,1
10341,44.0,36496.0,salaried,bachelor,751.0,11334.0,2,73.0,east,0
10342,41.0,14366.0,salaried,master,643.0,3315.0,1,75.0,west,0
10343,45.0,36523.0,self-employed,master,606.0,5239.0,0,20.0,north,0
10344,59.0,60227.0,salaried,bachelor,600.0,29410.0,2,45.0,east,1
10345,18.0,24713.0,self-employed,highschool,682.0,7603.0,2,85.0,west,0
10346,33.0,36747.0,salaried,bachelor,570.0,13031.0,1,118.0,west,0
10347,47.0,28399.0,salaried,highschool,447.0,9504.0,1,46.0,west,0
10348,21.0,85052.0,salaried,bachelor,687.0,26840.0,1,22.0,north,0
10349,58.0,58380.0,,bachelor,697.0,25801.0,2,39.0,east,1
10350,44.0,55591.0,self-employed,bachelor,632.0,22479.0,1,44.0,east,1
10351,50.0,54765.0,self-employed,highschool,547.0,32094.0,1,,central,0
10352,33.0,39394.0,salaried,bachelor,658.0,6675.0,2,32.0,west,0
10353,50.0,44302.0,self-employed,bachelor,518.0,17134.0,1,,central,1
10354,53.0,22190.0,salaried,highschool,558.0,2921.0,1,27.0,north,1
10355,43.0,13451.0,self-employed,highschool,582.0,6779.0,2,39.0,east,0
10356,43.0,43262.0,salaried,highschool,726.0,17658.0,2,84.0,west,0
10357,43.0,47193.0,self-employed,master,617.0,14827.0,0,102.0,north,1
10358,30.0,73470.0,salaried,bachelor,610.0,36817.0,0,,west,0
10359,38.0,88051.0,salaried,bachelor,826.0,28837.0,2,,south,0
