customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,senior_citizen,churn
C00096,55,,5973.32,two-year,electronic-check,dsl,0,0
C00097,34,57.68,1879.96,month-to-month,bank-transfer,dsl,0,1
C00098,5,117.54,591.64,two-year,electronic-check,fiber-optic,0,0
C00099,69,56.17,3942.7,one-year,credit-card,fiber-optic,0,0
C00100,0,59.58,0.0,two-year,bank-transfer,fiber-optic,1,1
C00101,62,56.0,3430.63,one-year,mailed-check,fiber-optic,0,1
C00102,31,75.77,2413.33,one-year,mailed-check,fiber-optic,0,1
C00103,37,58.35,2325.65,month-to-month,credit-card,dsl,0,1
C00104,55,84.62,4578.45,one-year,mailed-check,none,1,0
C00105,67,55.57,3871.65,one-year,electronic-check,none,0,0
C00106,10,93.72,937.55,month-to-month,bank-transfer,dsl,0,1
C00107,58,115.55,6979.53,one-year,bank-transfer,fiber-optic,0,0
C00108,47,72.33,3595.81,month-to-month,bank-transfer,none,1,1
C00109,26,136.55,3571.99,month-to-month,mailed-check,none,1,1
C00110,30,103.83,2841.36,month-to-month,mailed-check,fiber-optic,0,1
C00111,55,134.15, ,month-to-month,electronic-check,dsl,0,1
C00112,10,68.16,695.41,month-to-month,credit-card,none,0,1
C00113,36,20.16,740.23,two-year,electronic-check,fiber-optic,0,1
C00114,51,48.82,2494.32,month-to-month,mailed-check,fiber-optic,0,1
C00115,38,51.88,1842.75,two-year,electronic-check,dsl,0,0
C00116,32,41.41,1321.43,two-year,electronic-check,none,0,0
C00117,37,15.0,559.09,month-to-month,electronic-check,fiber-optic,0,1
C00118,36,100.74,3542.31,one-year,mailed-check,fiber-optic,0,1
C00119,57,15.0,795.0,month-to-month,credit-card,fiber-optic,1,1
C00120,59,97.87,6076.95,two-year,electronic-check,fiber-optic,0,0
C00121,66,135.57,8869.71,month-to-month,credit-card,fiber-optic,0,1
C00122,5,46.65,242.61,month-to-month,bank-transfer,fiber-optic,0,1
C00123,23,81.63,1707.32,month-to-month,credit-card,fiber-optic,0,1
C00124,63,,3659.79,one-year,bank-transfer,none,0,0
C00125,46,94.81,3989.58,month-to-month,credit-card,fiber-optic,1,1
C00126,27,34.17,965.62,month-to-month,bank-transfer,dsl,0,0
C00127,45,66.05,3020.21,two-year,credit-card,dsl,1,0
C00128,33,103.64,3386.72,month-to-month,electronic-check,fiber-optic,0,1
C00129,63,68.53,4725.95,one-year,credit-card,dsl,0,1
C00130,40,21.14,816.22,one-year,electronic-check,fiber-optic,1,1
C00131,32,107.25,3379.06,month-to-month,electronic-check,fiber-optic,0,1
C00132,44,31.12,1434.36,month-to-month,bank-transfer,fiber-optic,0,1
C00133,13,72.36,945.42,month-to-month,mailed-check,dsl,0,1
C00134,55,87.48,4963.9,two-year,electronic-check,fiber-optic,0,0
C00135,14,73.6,1128.48,one-year,credit-card,dsl,0,0
C00136,1,146.12,151.84,month-to-month,bank-transfer,fiber-optic,0,1
C00137,3,92.01,256.76,two-year,mailed-check,dsl,0,0
C00138,4,63.93,240.85,month-to-month,mailed-check,none,0,0
C00139,7,88.08,662.17,month-to-month,bank-transfer,fiber-optic,0,1
C00140,3,76.3,208.2,month-to-month,mailed-check,fiber-optic,0,0
C00141,21,71.33,1500.7,one-year,bank-transfer,none,0,0
C00142,69,77.31,5767.76,month-to-month,electronic-check,none,0,0
C00143,7,56.98,420.88,one-year,mailed-check,none,0,0
C00144,48,76.39,3384.74,month-to-month,electronic-check,dsl,0,0
C00145,62,54.84,3563.29,one-year,mailed-check,dsl,0,1
C00146,58,15.0,849.48,two-year,mailed-check,fiber-optic,0,0
C00147,26,104.21,2926.8,month-to-month,bank-transfer,fiber-optic,0,1
C00148,3,53.04,161.43,month-to-month,credit-card,fiber-optic,0,1
C00149,26,74.24,1949.11,one-year,bank-transfer,fiber-optic,0,0
C00150,43,47.19,1829.68,month-to-month,credit-card,dsl,0,0
C00151,54,48.09,2466.99,month-to-month,mailed-check,dsl,0,1
C00152,10,38.83,381.53,one-year,mailed-check,fiber-optic,0,1
C00153,21,98.45,2160.01,month-to-month,bank-transfer,fiber-optic,0,1
C00154,43,105.69,4562.96,one-year,electronic-check,none,0,0
C00155,51,70.78,3864.19,month-to-month,mailed-check,fiber-optic,0,0
C00156,22,53.9,1075.37,month-to-month,credit-card,dsl,0,1
C00157,59,19.21,1093.12,one-year,mailed-check,dsl,0,1
C00158,57,93.86,5454.61,one-year,credit-card,fiber-optic,0,1
C00159,25,49.7,1282.04,month-to-month,bank-transfer,fiber-optic,0,1
C00160,38,36.48,1386.99,month-to-month,electronic-check,fiber-optic,0,1
C00161,34,70.88,2361.1,month-to-month,mailed-check,fiber-optic,0,0
C00162,48,59.98,2632.17,month-to-month,mailed-check,none,1,0
C00163,23,24.46,584.62,two-year,credit-card,fiber-optic,0,1
C00164,23,28.58,710.38,month-to-month,mailed-check,dsl,0,1
C00165,30,80.1,2551.31,one-year,mailed-check,fiber-optic,0,1
C00166,15,50.33,785.32,month-to-month,bank-transfer,dsl,0,0
C00167,41,85.31,3591.47,month-to-month,credit-card,dsl,0,1
C00168,68,74.4,5334.17,one-year,bank-transfer,fiber-optic,0,0
C00169,25,101.43,2676.0,one-year,credit-card,fiber-optic,0,1
C00170,61,,2476.27,month-to-month,electronic-check,dsl,0,0
C00171,33,,2468.17,month-to-month,credit-card,fiber-optic,0,1
C00172,11,89.15,1052.82,month-to-month,electronic-check,fiber-optic,0,1
C00173,35,51.21,1918.23,month-to-month,credit-card,dsl,0,1
C00174,35,103.82,3786.14,one-year,bank-transfer,fiber-optic,0,0
C00175,1,20.01,19.25,month-to-month,bank-transfer,dsl,0,1
C00176,34,45.01,1621.59,month-to-month,electronic-check,fiber-optic,0,1
C00177,11,18.89,196.63,month-to-month,bank-transfer,fiber-optic,1,1
C00178,57,47.92,2580.92,two-year,electronic-check,fiber-optic,0,0
C00179,38,65.36,2501.53,month-to-month,bank-transfer,fiber-optic,0,0
C00180,21,,2022.29,one-year,mailed-check,fiber-optic,1,0
C00181,0,65.34,0.0,month-to-month,electronic-check,dsl,0,1
C00182,41,52.14,2182.06,month-to-month,mailed-check,fiber-optic,0,0
C00183,50,23.52,1225.36,month-to-month,electronic-check,dsl,0,1
C00184,30,33.57,942.82,one-year,electronic-check,dsl,0,0
C00185,65,79.31,4936.97,month-to-month,electronic-check,fiber-optic,0,1
C00186,14,96.44,1404.18,two-year,mailed-check,dsl,0,0
C00187,54,57.42,3365.83,month-to-month,bank-transfer,fiber-optic,0,1
C00188,35,106.33,4007.71,two-year,bank-transfer,fiber-optic,0,1
C00189,22,41.5,845.42,month-to-month,electronic-check,fiber-optic,1,1
C00190,20,58.28,1181.93,month-to-month,mailed-check,none,0,1
C00191,32,60.82,2062.93,one-year,bank-transfer,fiber-optic,1,0
C00192,5,115.88,548.97,month-to-month,electronic-check,none,1,0
C00193,46,74.01,3501.95,month-to-month,electronic-check,fiber-optic,0,1
C00194,29,16.05,458.63,two-year,electronic-check,fiber-optic,0,1
C00195,48,98.55,4884.34,one-year,electronic-check,fiber-optic,0,0
C00196,37,125.38,4204.87,two-year,electronic-check,none,1,0
C00197,70,62.51,4211.86,month-to-month,bank-transfer,fiber-optic,0,1
C00198,5,43.09,207.14,one-year,credit-card,none,0,1
C00199,35,95.93,3302.86,one-year,credit-card,fiber-optic,0,0
C00200,38,128.93,4521.57,one-year,bank-transfer,none,0,1
C00201,17,95.46,1602.28,one-year,mailed-check,fiber-optic,1,1
C00202,48,21.31,1031.36,one-year,credit-card,dsl,0,1
C00203,26,92.64,2180.63,two-year,credit-card,dsl,1,0
C00204,54,82.13,4258.23,month-to-month,mailed-check,fiber-optic,0,1
C00205,66,41.36,2553.64,month-to-month,electronic-check,dsl,0,1
C00206,61,108.66,7254.49,month-to-month,mailed-check,dsl,1,0
C00207,45,83.15,3465.04,month-to-month,mailed-check,fiber-optic,1,1
C00208,51,109.45,5724.13,one-year,bank-transfer,fiber-optic,0,1
C00209,62,38.16,2319.22,month-to-month,electronic-check,dsl,1,1
C00210,70,81.96,5493.4,month-to-month,bank-transfer,fiber-optic,1,0
C00211,52,,2402.54,two-year,mailed-check,fiber-optic,1,0
C00212,65,77.43,5198.12,two-year,mailed-check,fiber-optic,1,0
C00213,69,114.32,8077.64,month-to-month,electronic-check,fiber-optic,0,0
C00214,12,27.21,299.96,month-to-month,bank-transfer,dsl,0,0
C00215,36,28.93,991.27,month-to-month,electronic-check,none,0,0
C00216,25,98.66,2356.34,month-to-month,credit-card,none,0,1
C00217,68,69.58,4669.1,month-to-month,bank-transfer,fiber-optic,0,1
C00218,53,105.14,6042.02,month-to-month,credit-card,dsl,0,0
C00219,63,45.78,2828.65,one-year,bank-transfer,fiber-optic,0,0
C00220,25,71.54,1726.88,month-to-month,credit-card,none,0,0
C00221,60,90.64,4971.93,month-to-month,electronic-check,none,0,0
C00222,5,76.31,372.75,one-year,electronic-check,none,0,0
C00223,67,16.34,996.62,month-to-month,credit-card,none,0,1
C00224,16,150.0,2335.3,month-to-month,bank-transfer,fiber-optic,0,1
C00225,37,,3090.04,month-to-month,bank-transfer,dsl,0,1
C00226,51,29.79,1536.19,month-to-month,mailed-check,dsl,1,1
C00227,53,79.43,3964.47,month-to-month,mailed-check,dsl,0,0
C00228,15,82.87,1193.2,month-to-month,bank-transfer,dsl,0,0
C00229,39,99.82,3948.25,month-to-month,mailed-check,dsl,1,0
C00230,38,97.81,3359.59,two-year,electronic-check,fiber-optic,0,1
C00231,55,63.58,3776.63,two-year,mailed-check,fiber-optic,0,0
C00232,23,18.34,428.36,month-to-month,mailed-check,dsl,0,1
C00233,54,83.84,4520.42,two-year,credit-card,none,0,0
C00234,44,20.73, ,month-to-month,mailed-check,none,0,0
C00235,54,106.46,5404.07,month-to-month,mailed-check,dsl,0,0
C00236,63,48.02,2735.67,month-to-month,bank-transfer,dsl,0,0
C00237,30,89.05,2733.03,month-to-month,electronic-check,fiber-optic,1,1
C00238,31,50.31,1453.7,month-to-month,bank-transfer,none,0,1
C00239,57,55.24,2841.46,two-year,electronic-check,fiber-optic,1,0
C00240,56,45.97,2795.21,month-to-month,credit-card,dsl,0,1
C00241,63,91.48,6095.85,month-to-month,mailed-check,fiber-optic,0,1
C00242,39,51.36,1848.47,month-to-month,mailed-check,none,0,0
C00243,45,93.06,4519.46,two-year,mailed-check,dsl,0,1
C00244,4,52.14,190.54,month-to-month,mailed-check,fiber-optic,0,1
C00245,32,,2140.12,two-year,bank-transfer,fiber-optic,1,0
C00246,17,71.07,1187.47,month-to-month,bank-transfer,dsl,0,1
C00247,61,74.61,4568.04,one-year,credit-card,none,0,1
C00248,8,42.27,349.58,month-to-month,credit-card,dsl,0,1
C00249,56,,4692.94,month-to-month,mailed-check,none,0,1
C00250,60,61.86,4014.27,month-to-month,bank-transfer,fiber-optic,0,1
C00251,33,86.32,2645.45,month-to-month,mailed-check,dsl,0,0
C00252,48,,3631.31,month-to-month,credit-card,fiber-optic,1,1
C00253,41,87.59,3297.91,month-to-month,electronic-check,dsl,0,0
C00254,49,57.66,2639.99,one-year,credit-card,dsl,1,0
C00255,49,46.31,2068.48,one-year,mailed-check,dsl,0,0
C00256,18,82.81,1460.03,month-to-month,bank-transfer,none,0,1
C00257,49,55.19,2753.36,one-year,bank-transfer,none,0,0
C00258,64,113.76,7463.0,one-year,mailed-check,dsl,0,1
C00259,22,72.03,1688.77,two-year,credit-card,fiber-optic,0,1
C00260,22,28.79,637.0,month-to-month,mailed-check,none,0,1
C00261,21,52.44,1103.38,month-to-month,bank-transfer,fiber-optic,0,0
C00262,65,40.02,2510.9,two-year,credit-card,dsl,1,0
C00263,63,102.19,6632.37,two-year,electronic-check,fiber-optic,1,0
C00264,25,93.21,2520.54,two-year,credit-card,fiber-optic,0,1
C00265,67,68.17,4435.13,one-year,credit-card,dsl,0,0
C00266,54,78.7,4127.82,one-year,mailed-check,fiber-optic,0,1
C00267,28,67.37,1827.24,two-year,credit-card,fiber-optic,0,0
C00268,59,95.81,5344.73,month-to-month,electronic-check,fiber-optic,0,1
C00269,65,85.59,5637.9,month-to-month,electronic-check,fiber-optic,0,1
C00270,62,91.0,5196.89,two-year,credit-card,fiber-optic,0,0
C00271,33,64.24,2262.03,two-year,credit-card,fiber-optic,0,1
C00272,15,51.05,710.32,month-to-month,electronic-check,fiber-optic,1,0
C00273,12,89.95,1009.03,month-to-month,bank-transfer,dsl,0,0
C00274,59,116.54,6282.59,two-year,electronic-check,fiber-optic,0,0
C00275,52,103.18,5238.05,month-to-month,credit-card,fiber-optic,0,1
C00276,51,117.45,6298.59,one-year,credit-card,fiber-optic,0,0
C00277,3,74.86,243.0,month-to-month,mailed-check,fiber-optic,0,1
C00278,69,40.9,2785.02,month-to-month,electronic-check,fiber-optic,0,0
C00279,8,43.56,330.05,one-year,electronic-check,fiber-optic,0,1
C00280,41,111.39,4772.98,two-year,bank-transfer,fiber-optic,0,0
C00281,67,15.0,1042.82,month-to-month,credit-card,fiber-optic,0,0
C00282,17,115.14,2028.54,month-to-month,bank-transfer,fiber-optic,0,1
C00283,37,46.37,1696.31,month-to-month,mailed-check,fiber-optic,0,0
C00284,60,127.7,7762.17,month-to-month,bank-transfer,none,1,1
C00285,19,67.88,1176.77,two-year,credit-card,fiber-optic,0,1
C00286,7,91.68,609.65,month-to-month,credit-card,dsl,0,0
C00287,34,141.55,5223.7,two-year,electronic-check,none,0,1
C00288,57,60.1,3111.53,two-year,electronic-check,dsl,0,1
C00289,41,59.59,2346.32,month-to-month,mailed-check,fiber-optic,1,1
C00290,31,49.15,1440.49,month-to-month,mailed-check,none,0,0
C00291,46,39.95,1701.65,two-year,bank-transfer,dsl,0,1
C00292,3,60.11,195.62,month-to-month,credit-card,dsl,0,1
C00293,25,53.35,1234.07,two-year,bank-transfer,dsl,0,1
C00294,63,32.49,2042.66,month-to-month,credit-card,none,1,1
C00295,27,63.69,1836.27,month-to-month,mailed-check,fiber-optic,0,0
C00296,69,83.49,5189.41,month-to-month,bank-transfer,fiber-optic,0,1
C00297,39,43.12,1550.12,month-to-month,bank-transfer,dsl,1,0
C00298,67,65.13,4225.5,one-year,mailed-check,dsl,0,0
C00299,45,112.2,4692.86,one-year,bank-transfer,dsl,0,0
C00300,30,27.41,770.22,month-to-month,bank-transfer,none,0,1
C00301,66,127.95,8598.66,month-to-month,bank-transfer,dsl,0,0
C00302,19,49.78,883.5,month-to-month,mailed-check,none,0,0
C00303,28,76.03,2187.87,two-year,mailed-check,fiber-optic,0,0
C00304,52,108.37,6103.83,two-year,credit-card,none,0,0
C00305,62,117.53,6892.55,one-year,bank-transfer,fiber-optic,0,0
C00306,13,84.09,1030.32,two-year,electronic-check,fiber-optic,0,1
C00307,71,49.16,3149.59,month-to-month,bank-transfer,dsl,0,0
C00308,31,46.52,1302.02,month-to-month,bank-transfer,fiber-optic,0,0
C00309,24,52.75,1239.9,month-to-month,credit-card,fiber-optic,0,1
C00310,9,126.68,1137.6,two-year,credit-card,dsl,0,0
C00311,1,58.51,54.79,month-to-month,bank-transfer,none,0,1
C00312,40,79.71,3075.48,two-year,electronic-check,dsl,0,0
C00313,43,38.69,1543.88,month-to-month,mailed-check,dsl,0,1
C00314,6,,219.54,month-to-month,electronic-check,fiber-optic,1,1
C00315,65,70.79,4502.94,month-to-month,electronic-check,fiber-optic,0,1
C00316,39,60.26,2460.19,one-year,credit-card,dsl,1,0
C00317,3,62.45,189.23,month-to-month,electronic-check,none,0,1
C00318,60,25.63,1499.94,two-year,electronic-check,dsl,0,0
C00319,14,67.8,973.12,one-year,mailed-check,fiber-optic,1,0
C00320,48,116.48,5039.87,month-to-month,mailed-check,dsl,0,0
C00321,48,44.41,2212.78,one-year,bank-transfer,dsl,0,0
C00322,58,96.92,5476.56,month-to-month,mailed-check,fiber-optic,0,1
C00323,58,15.0,872.36,two-year,credit-card,none,0,0
C00324,70,45.93,3230.13,month-to-month,electronic-check,fiber-optic,0,1
C00325,6,15.0,91.05,one-year,credit-card,dsl,0,0
C00326,26,107.09,2896.94,month-to-month,credit-card,dsl,1,0
C00327,26,96.36,2310.35,month-to-month,bank-transfer,none,0,0
C00328,27,38.97,1049.87,one-year,electronic-check,dsl,0,0
C00329,17,78.68,1226.02,month-to-month,bank-transfer,fiber-optic,1,1
C00330,16,106.05,1606.6,one-year,bank-transfer,dsl,0,0
C00331,69,110.72,7164.62,month-to-month,bank-transfer,dsl,1,1
C00332,64,57.83,3773.94,month-to-month,mailed-check,dsl,0,1
C00333,49,15.0,750.6,month-to-month,mailed-check,dsl,0,1
C00334,39,43.04,1789.8,one-year,mailed-check,fiber-optic,0,0
C00335,34,92.98,3175.27,month-to-month,bank-transfer,fiber-optic,1,1
C00336,49,132.97,6834.21,month-to-month,mailed-check,none,0,1
C00337,62,68.37,4568.81,month-to-month,mailed-check,dsl,1,1
C00338,30,51.8,1439.97,month-to-month,credit-card,fiber-optic,0,1
C00339,38,141.98,5633.71,one-year,mailed-check,fiber-optic,0,1
C00340,65,82.17,5157.37,two-year,bank-transfer,dsl,0,0
C00341,65,33.17,2060.16,one-year,credit-card,dsl,0,0
C00342,16,66.43,1161.35,month-to-month,credit-card,dsl,0,0
C00343,17,100.0,1600.16,month-to-month,bank-transfer,dsl,0,0
C00344,14,67.89,1029.24,one-year,mailed-check,fiber-optic,0,0
C00345,1,93.83,99.91,one-year,electronic-check,dsl,0,1
C00346,50,21.85,1175.22,month-to-month,credit-card,fiber-optic,0,1
C00347,30,26.97,823.16,one-year,bank-transfer,fiber-optic,0,0
C00348,2,47.95,97.53,month-to-month,bank-transfer,fiber-optic,0,1
C00349,14,61.53,844.69,month-to-month,credit-card,dsl,0,1
C00350,38,80.02,2980.45,month-to-month,mailed-check,fiber-optic,0,0
C00351,60,89.1,5721.11,month-to-month,electronic-check,fiber-optic,0,0
C00352,47,143.98,6615.3,month-to-month,bank-transfer,none,1,0
C00353,38,47.84,1813.21,month-to-month,credit-card,dsl,0,1
C00354,13,60.58,865.73,month-to-month,electronic-check,dsl,1,1
C00355,20,48.68,945.24,month-to-month,credit-card,none,0,1
C00356,56,102.38,6103.28,month-to-month,bank-transfer,dsl,0,1
C00357,55,104.02,5466.09,month-to-month,bank-transfer,dsl,0,1
C00358,62,56.57,3174.21,two-year,credit-card,none,0,1
C00359,37,131.97,4974.22,one-year,mailed-check,fiber-optic,0,0
C00360,19,48.73,922.1,month-to-month,bank-transfer,fiber-optic,0,1
C00361,36,100.9,3840.57,month-to-month,electronic-check,dsl,0,0
C00362,64,113.64,6551.46,month-to-month,bank-transfer,dsl,0,1
C00363,13,29.15,346.43,month-to-month,electronic-check,dsl,0,0
C00364,60,87.33,5616.66,month-to-month,electronic-check,fiber-optic,0,0
C00365,71,15.0,1060.92,month-to-month,mailed-check,fiber-optic,0,1
C00366,59,,5595.98,month-to-month,mailed-check,fiber-optic,0,1
C00367,47,36.95,1641.25,one-year,credit-card,none,0,0
C00368,29,87.02,2738.68,month-to-month,credit-card,none,0,1
C00369,61,92.65,6120.06,month-to-month,credit-card,dsl,0,0
C00370,11,103.6,1143.45,month-to-month,bank-transfer,fiber-optic,0,0
C00371,54,96.71,4927.44,two-year,electronic-check,fiber-optic,1,1
C00372,28,71.68,2200.74,one-year,bank-transfer,fiber-optic,0,1
C00373,36,58.59,2274.63,one-year,mailed-check,none,0,0
C00374,33,67.77,2245.93,two-year,bank-transfer,fiber-optic,0,1
C00375,0,,0.0,month-to-month,bank-transfer,fiber-optic,0,1
C00376,71,63.65,4464.58,month-to-month,credit-card,dsl,0,1
C00377,48,,2768.48,one-year,mailed-check,fiber-optic,1,0
C00378,43,46.35,2065.53,month-to-month,credit-card,fiber-optic,0,1
C00379,7,17.76,128.56,one-year,bank-transfer,fiber-optic,0,0
C00380,56,31.69,1791.55,month-to-month,bank-transfer,fiber-optic,0,1
C00381,69,15.0,1100.09,month-to-month,credit-card,fiber-optic,0,0
C00382,58,60.76,3490.34,month-to-month,credit-card,fiber-optic,0,0
C00383,17,,1473.02,month-to-month,mailed-check,none,0,0
C00384,13,15.0,183.96,one-year,electronic-check,dsl,0,0
C00385,26,77.1,2189.79,month-to-month,electronic-check,fiber-optic,0,1
C00386,1,66.33,62.41,month-to-month,mailed-check,fiber-optic,0,1
C00387,39,34.7,1261.21,month-to-month,bank-transfer,fiber-optic,0,0
C00388,32,57.06,1863.8,two-year,credit-card,fiber-optic,0,1
C00389,36,101.52,3357.42,one-year,electronic-check,fiber-optic,0,1
C00390,71,40.77,2702.71,one-year,mailed-check,fiber-optic,0,1
C00391,47,72.37,3556.98,month-to-month,credit-card,dsl,0,0
C00392,30,80.4,2319.39,month-to-month,credit-card,none,0,0
C00393,56,45.33,2691.07,month-to-month,credit-card,fiber-optic,0,1
C00394,26,100.25,2426.89,month-to-month,credit-card,dsl,0,1
C00395,54,82.12,4332.5,month-to-month,electronic-check,dsl,0,0
C00396,67,62.44,4088.51,two-year,bank-transfer,dsl,0,0
C00397,65,140.9,9122.41,month-to-month,bank-transfer,dsl,0,1
